latitude,longitude
36.524,87.362
37.27,85.932
36.821,84.902
36.858,84.917
36.855,84.733
36.725,84.374
36.343,82.865
36.249,82.687
36.248,82.59
36.48,82.556
35.558,82.155
35.464,81.672
35.534,81.75
35.539,81.734
35.977,81.358
36.012,81.166
35.995,81.166
35.971,80.809
35.957,80.67
35.976,80.523
36.018,80.279
36.033,80.299
35.767,81.205
35.769,81.129
35.771,81.039
35.673,81.256
35.532,81.584
35.419,81.549
35.396,81.522
35.536,81.2
35.593,81.056
35.547,81.008
35.521,80.734
35.552,80.731
35.599,80.712
35.641,80.749
35.654,80.746
35.554,80.528
35.514,80.541
35.562,80.412
35.772,80.52
35.784,80.481
35.805,80.503
35.764,80.393
35.769,80.458
35.722,80.385
35.788,80.328
35.895,80.254
35.807,80.291
35.738,80.287
35.79,80.05
35.53,80.403
35.612,80.306
35.587,80.22
35.715,79.969
35.68,79.847
35.701,79.697
35.851,79.885
35.858,79.885
35.849,79.876
35.868,79.828
35.798,79.806
35.791,79.808
35.736,79.73
35.724,79.713
35.816,79.701
35.831,79.607
35.952,79.595
35.907,79.564
36.031,79.645
36.052,79.621
36.081,79.629
35.978,79.714
36.015,79.824
36.023,79.814
36.154,79.662
36.223,79.513
36.274,79.417
36.369,79.465
36.289,79.403
36.285,79.398
36.215,79.391
36.292,79.093
36.272,78.956
36.48,78.737
36.396,78.776
36.316,78.611
36.35,78.517
36.352,78.391
36.068,79.376
36.09,79.355
36.081,79.355
36.102,79.306
36.093,79.196
36.089,79.168
36.082,79.14
35.717,78.927
35.721,78.823
35.752,78.764
35.638,78.817
35.147,78.91
35.194,78.528
35.281,78.654
35.338,78.749
35.471,78.501
35.752,78.59
35.82,78.617
35.986,78.987
35.956,78.929
36.044,78.91
36.019,78.901
36.07,78.897
36.081,78.675
36.135,78.564
36.206,78.391
36.165,78.299
36.135,78.245
36.092,78.247
36.25,78.001
36.317,77.881
36.281,77.836
36.291,77.713
36.468,77.862
36.515,77.781
36.48,77.948
36.523,77.892
36.548,77.783
36.58,77.764
36.58,77.741
36.541,77.608
36.529,77.543
36.494,77.449
36.581,77.539
36.661,77.638
36.696,78.018
36.632,78.111
36.637,78.119
36.759,78.501
36.741,78.308
36.804,78.07
36.772,77.683
36.677,77.637
36.621,77.53
36.723,77.371
36.617,77.249
36.666,77.219
36.679,77.213
36.762,77.172
36.772,77.142
36.703,77.188
36.67,77.03
36.736,76.883
36.839,76.665
36.833,76.613
36.955,76.498
36.654,76.603
36.666,76.548
36.823,76.287
37.057,76.244
36.575,76.587
36.613,76.593
36.575,76.768
36.505,76.862
36.457,76.911
36.509,76.971
36.53,76.945
36.531,77.203
35.636,77.973
35.843,77.443
35.867,77.311
35.858,77.242
35.986,77.033
36.293,77.36
36.368,77.265
36.38,77.233
36.195,77.352
36.184,77.146
36.243,76.867
36.208,76.861
35.947,76.889
35.928,76.866
36.07,76.873
36.263,76.667
36.404,76.162
35.633,77.229
35.685,76.954
35.988,76.621
35.931,76.36
35.907,76.428
36.105,76.334
36.194,76.157
36.678,76.006
36.805,75.868
37.072,75.654
36.807,75.466
36.884,75.431
36.886,75.491
36.977,75.474
36.978,75.388
36.989,75.3
37.08,75.189
37.102,74.644
37.103,74.631
37.079,74.552
37.394,75.156
37.394,75.19
37.423,75.215
37.45,75.238
37.475,75.229
37.631,75.145
37.676,75.145
37.702,75.162
37.78,75.012
37.817,74.992
38.037,74.903
38.188,75.074
37.967,75.511
38.571,75.742
38.167,75.531
38.573,75.371
38.703,75.179
38.327,75.427
38.265,75.306
38.238,75.06
38.569,74.677
38.638,74.474
38.781,74.275
38.802,74.149
38.825,73.848
38.929,73.755
38.941,73.913
39.243,74.385
39.099,74.76
39.064,74.788
38.967,74.853
38.808,75.158
39.029,74.834
39.096,74.827
39.121,74.82
39.323,75.238
39.133,73.878
39.069,73.865
39.275,73.64
39.461,73.667
39.514,73.862
39.513,73.84
39.51,73.827
40.083,74.483
40.7,76.83
40.77,76.78
40.95,76.92
40.98,77.1
40.9,77.43
40.92,77.42
40.95,77.83
41,77.85
40.98,78
40.98,78.03
41.08,78.17
41.03,78.05
41.08,78.05
41.07,78.02
41.08,77.9
41.12,77.7
41.08,77.67
41.35,77.78
41.43,77.93
41.23,78.32
41.25,78.4
41.48,78.8
41.6,78.93
41.9,80.05
41.75,79.88
41.77,79.92
41.77,80.23
41.78,80.27
41.95,80.33
41.97,80.25
42,80.4
41.92,80.48
41.88,80.62
42.08,80.57
42.15,80.55
42.27,80.7
42.32,80.82
42.25,80.8
41.97,81.23
42.15,81.37
42.33,81.45
42.22,81.57
42.32,81.85
42.35,82.03
42.33,82.15
42.43,82.98
42.57,82.93
42.45,83.48
42.5,83.77
42.5,83.8
42.37,84.22
42.33,84.28
42.28,84.83
42.35,84.72
42.35,84.68
42.38,84.62
42.47,84.12
42.52,84.03
42.5,83.92
42.53,83.73
42.6,83.05
42.67,83.3
42.63,83.2
43.03,83.58
43.07,83.7
43.32,84.97
43.18,85.22
43.17,85.3
42.62,85.5
42.85,84.87
42.77,84.93
42.58,84.95
42.58,84.95
42.63,85.13
